title,artist,danceability,mood_acoustic,mood_aggressive,mood_electronic,mood_happy,mood_party,mood_relaxed,mood_sad
Mercy I Cry City,The Incredible String Band,0.640751481056,0.711454331875,0.0473141297698,0.10396848619,0.943718016148,0.602928638458,0.810659706593,0.569549024105
Only You,Gio Maxx,0.0854163691401,0.965284883976,0.00527862273157,0.480774611235,0.0438799858093,0.987169861794,0.0250835046172,0.124020807445
Unknown Album,Unknown Artist,0.999973654747,0.0115851536393,0.0465330034494,0.985203921795,0.314980536699,0.122524380684,0.563356399536,0.723430991173
Country Gal Dub,King Tubby Meets Roots Radics,0.96840929985,0.135843381286,0.282883107662,0.491292625666,0.242763653398,0.332642048597,0.594431817532,0.514588952065
The Puppet Motel,Laurie Anderson,0.687959015369,0.602093100548,0.12516091764,0.77074432373,0.0758220553398,0.463191181421,0.0799895823002,0.314210414886
I Don't Wanna Be,Ashley Monroe,0.700410246849,0.778843104839,0.0502545014024,0.373585581779,0.574248850346,0.758948564529,0.0848699361086,0.467947721481
Immensamente (single remix version),Umberto Tozzi,0.995041310787,0.0857261642814,0.108592100441,0.352456718683,0.374754101038,0.247953653336,0.865203499794,0.67798858881
(Can't Get My) Head Around You,The Offspring,0.171010509133,0.0149211669341,0.476752221584,0.154233291745,0.239040419459,0.553059399128,0.994456529617,0.875800430775
Taking Place in You (Meditation mix),Eternal Basement,0.592677116394,0.527631700039,0.078266069293,0.825858414173,0.209552690387,0.44833278656,0.0100992908701,0.651018440723
It Grows Again,"Tom Demac, Will Samson",0.999943971634,0.0101893059909,0.0247942507267,0.966884613037,0.0180299486965,0.600703060627,0.0265432111919,0.638402700424
Little Soul,Depeche Mode,0.295166730881,0.205209925771,0.377903729677,0.858526229858,0.0373303666711,0.842411756516,0.40947252512,0.472666442394
Taking Place In You (Meditation Mix),Eternal Basement,0.592592060566,0.52771538496,0.0782715082169,0.825833141804,0.209593623877,0.448103219271,0.0101007819176,0.651018440723
(Can't Get My) Head Around You,The Offspring,0.179214030504,0.0149560878053,0.435327023268,0.152023434639,0.22705693543,0.537608623505,0.994619369507,0.872312963009
Immensamente,Umberto Tozzi,0.960991203785,0.380382537842,0.160073876381,0.285155802965,0.236444622278,0.490601032972,0.842828392982,0.637176215649
Better Believe It,The Kingsmen,0.0577743314207,0.0194141622633,0.539461255074,0.85736489296,0.999963641167,0.0314615815878,0.192744016647,0.819217085838
Hit the Road to Dreamland,Dr. John,0.348174989223,0.91826570034,0.0853656157851,0.344498246908,0.206605449319,0.682645976543,0.0183226130903,0.416710495949
As Good as My Love (Bart B More Secured Refix),L.B.G.,0.999999880791,2.71645990324e-06,0.00376682821661,0.854206800461,0.817264735699,0.135678052902,0.895373106003,0.72348088026
The Puppet Motel,Laurie Anderson,0.687999784946,0.60191732645,0.125156447291,0.770761489868,0.0757490545511,0.463915020227,0.0798930600286,0.314293563366
Country Gal Dub,King Tubby Meets Roots Radics,0.968412995338,0.135731980205,0.282897114754,0.491342097521,0.242702230811,0.332455188036,0.594385802746,0.514588952065
Only You,Gio Maxx,0.0854128524661,0.965273916721,0.00527849048376,0.480811595917,0.0438503995538,0.987172305584,0.0250728707761,0.123907744884
Mercy I Cry City,The Incredible String Band,0.640852987766,0.711486458778,0.0473105497658,0.103979222476,0.943696379662,0.603120625019,0.810582458973,0.56941896677
Hammer to Fall,Queen,0.343807846308,0.0713268369436,0.465861022472,0.233678773046,0.176297679543,0.617929637432,0.980255246162,0.809664309025
Killing For Love,Jose Gonzalez,0.0287253316492,0.807492375374,0.00399724859744,0.667159438133,0.242680341005,0.984866976738,0.0140996808186,0.412022471428
Christian Names,Atlas Sound,0.0686182901263,0.0175334475935,0.331489056349,0.359066277742,0.588038623333,0.430309832096,0.989031434059,0.904468953609
